Introduction	序章
You hear the constant "drip... drip..." of water.	你聽到水的不斷「滴……滴……」聲。
That spell is useless here.	那個法術在這裡沒有用。
There is nothing here to calm.	這裡沒有什麼要平靜的。
The Troll looks as though he will now calmly tear you to shreds.	巨魔看起來彷彿現在要平靜地把你撕成碎片。
There is nothing here to dazzle.	這裡沒有什麼要眩目的。
You'd think a Cave Troll would make a perfect Dazzle victim, wouldn't you? Unfortunately, this one was blind to start with, and he can still smell you!	你會認為洞穴巨魔是眩目術的完美受害者，不是嗎？不幸的是，這隻一開始就是瞎子，它仍然能聞到你！
There is no magic in this cave.	這個洞穴裡沒有魔法。
There is nothing here to use it on.	這裡沒有什麼東西可以用它來對付。
Oops, it's one of those flame-resistant Trolls you've been warned about.	哎呀，這是那些你被警告過的火焰抗性巨魔之一。
Before you can react, the Troll is upon you, and the encounter begins.	還沒等你反應，巨魔就撲向你，戰鬥開始了。
You shouldn't have done that!  Now he's mad! 	你不應該那樣做！現在他發怒了！
There's nothing else worth taking from the Troll.	巨魔身上沒有什麼值得拿的了。
The dead Troll's huge club is much too heavy for you to lift.	死去的巨魔的巨大棍棒對你來說太重了，抬不起來。
You find nothing on the Troll.	你在巨魔身上找不到任何東西。
You find nothing on the Troll but a little hair.	你在巨魔身上只找到一點毛髮。
You find no more beard hair on the dead Troll.	你在死巨魔身上找不到更多的鬍鬚。
You cut off the Troll's beard and put it away.	你剪下巨魔的鬍鬚並收了起來。
A dead Troll lies in a pool of blue blood.	一隻死巨魔躺在藍色血液的水池中。
The Troll lies dying upon the slimy floor of the cave.	巨魔躺在洞穴粘滑的地板上奄奄一息。
You see no such creature here.	你在這裡看不到這樣的生物。
A mean-looking Troll looms before you, a snarl on his lips.	一隻看起來兇惡的巨魔聳立在你面前，嘴角帶著咆哮。
The Troll would just as soon eat you as talk to you.	巨魔寧可吃掉你也不想和你說話。
A brigand archer!  From what you can see, you realize that you are in a very dangerous situation. 	一個山賊弓箭手！從你能看到的，你意識到自己處於非常危險的局面。
Yet another brigand archer!  And this one is wearing his archery merit badge! 	又是一個山賊弓箭手！這一個還戴著他的射擊功績勳章！
One bad dude!	一個狠角色！
Yet another brigand archer!  Don't these guys know overkill when they see it? 	又是一個山賊弓箭手！這些傢伙不知道什麼叫過度殺傷嗎？
Yet another brigand archer!  If these guys shoot at all well, you soon will be impeccably dressed in your arrow shirt! 	又是一個山賊弓箭手！如果這些傢伙射得相當不錯，你很快就會被完美地穿上箭衣！
It's a nasty, pointy, barbed arrow. 	這是一根討厭的、尖刺的、倒鉤的箭。
You'd better keep your head up.	你最好抬起頭來。
You have a bad feeling about this place.	你對這個地方有不好的感覺。
You have an even worse feeling about this place.	你對這個地方有更糟糕的感覺。
You have a splintering headache that's doing you in. 	你有一個碎裂的頭痛，正在要了你的命。
That's one way of collecting arrows.  Shame you don't have a bow. 	那是收集箭的一種方法。可惜你沒有弓。
The cliffs are rocky and riddled with niches that could conceal things. Brigand archers for instance.  There is a pile of logs off to the northwest. 	懸崖是岩石質的，佈滿了可能隱藏東西的壁龕。例如山賊弓箭手。西北方有一堆原木。
A brigand ground fighter!	一個山賊地面戰士！
A Zulu warrior?  (Perhaps a refugee from Quest for Glory 3:  The Wages of War?) 	祖魯戰士？(也許是來自「英雄傳奇3：戰爭報酬」的難民？)
You may have killed that brigand, but there are five others pelting you with arrows. 	你可能殺死了那個山賊，但還有五個在用箭襲擊你。
It looks like the brigands have prepared a welcoming committee for you behind the logs. 	看起來山賊在木頭後面為你準備了一個歡迎委員會。
You'll have to get closer to the logs, defying withering arrow fire and death, before you can climb over them. 	在你能爬過木頭之前，你必須更靠近木頭，無視猛烈的箭火和死亡。
The rock walls look steep, and archers are perched on their summits. 	岩牆看起來很陡峭，弓箭手棲息在其頂部。
They'll pick you off before you get half-way up there! 	在你爬到一半之前，他們會把你挑下來！
A warning bell to alert all the brigands in the fortress.	用來警報要塞中所有山賊的警鐘。
The bush sits next to the cliff.  There are marks on the ground near the bush.	灌木坐在懸崖旁邊。灌木附近的地面上有痕跡。
You see a bush that conceals the secret entrance.	你看到一叢灌木隱蔽著秘密入口。
The sign reads "Ring bell".	標誌上寫著「搖鐘」。
Step over and get a close look.	踏過去仔細看。
Why knock?  Use the bell.	為什麼要敲門？用鐘。
The gate appears to be fastened somehow on the inside.  You'll have to force the gate open.	大門似乎以某種方式從內側被固定。你必須強行打開大門。
Your lock picking skills are no match for the gate lock.	你的開鎖技巧無法對抗大門的鎖。
The fortress gate -- a very *strong* gate.  It appears to be fastened somehow on the other side. 	要塞大門──一扇非常*強大的*大門。它似乎以某種方式從另一側被固定。
Beyond the open gate, you can see a storage area and some buildings.	打開的大門外，你可以看到一個儲存區和一些建築物。
Even using your thief toolkit, you have no hope of picking this lock.  (The bar on the other side may have something to do with that.)	即使使用你的盜賊工具包，你也無法撬開這個鎖。(另一側的門栓可能與此有關。)
OK.  Here's your chance.	好的。這是你的機會。
Why bother?  He's out for the count.	為什麼還要折騰？他已經昏迷了。
That's not a good idea.	那不是個好主意。
You've got all the loot you're going to find.	你已經得到了你會找到的所有戰利品。
You quickly search the fallen Minotaur and find nothing.	你迅速搜索倒下的牛頭人怪，什麼都沒找到。
Wait a minute.	等一下。
The Minotaur's flail looks peculiar.  You pick it up and examine it closely.	牛頭人怪的連枷看起來很奇怪。你把它撿起來仔細檢查。
Cleverly concealed in the flail are 50 silvers.	連枷中巧妙地隱藏著 50 枚銀幣。
"A just reward for defeating such a valiant fighter," you tell yourself as you pocket the silvers.	「打敗這麼一位勇敢的戰士，真是恰當的報酬，」當你把銀幣放進口袋時對自己說。
As you attempt the search, the sleeping Minotaur awakes, and...	當你試圖搜索時，沉睡的牛頭人怪醒了，而且……
You'll have to give yourself room.	你必須給自己讓出空間。
It's a Minotaur, half man, half bull.	這是一隻牛頭人怪，半人半牛。
If you've seen one, you've seen them all.	如果你見過一隻，就見過它們全部。
Good ears, but very poor peripheral vision. 	耳朵不錯，但周邊視力很差。
Before you can complete your spell, the Minotaur's upon you!  	在你完成咒語之前，牛頭人怪就撲向你了！
O.K.  Here's your chance. 	好的。這是你的機會。
You don't have enough experience to climb the wall.	你的經驗不足以爬牆。
It's a loose pile of rocks and debris. 	這是一堆鬆散的岩石和碎片。
There is no good climbing place on the rock cliff to the west.   	西邊的岩石懸崖上沒有好的攀爬地點。
The cliff seems very hard to climb.	懸崖似乎很難攀爬。
You can see marks in the ground, leading towards the bush.	你可以看到地面上的痕跡，指向灌木。
You're in far too dangerous a place to sit down.	你所在的地方太危險了，無法坐下。
It's just an old-time rock (won't roll).	這只是一塊老式岩石(不會滾動)。
You can't climb the rock.	你無法攀爬岩石。
The rocks look to be good hiding places.	岩石看起來是很好的藏身之處。
This seems like a good place to climb, but you aren't skillful enough to manage it.	這似乎是一個很好的攀爬地點，但你的技巧不夠好。
You're going to have to get a lot better at climbing to get into the fortress.   	你必須大幅提高攀爬技巧才能進入要塞。
Brigands's fortress.	山賊的要塞。
You find a good purchase on the rocks to climb.	你在岩石上找到了一個很好的立足點來攀爬。
The dirt is too loose for climbing here.	這裡的泥土太鬆散了，無法攀爬。
"Grumble Grumble Grumble.  Stupid guard duty, third time this week.  Why always me?  Grumble Grumble Grumble." 	「碎碎念碎碎念碎碎念。該死的衛兵職責，本週第三次。為什麼總是我？碎碎念碎碎念碎碎念。」
"Well, I'll huff, and I'll puff, and I'll smash the gate down," you decide. 	「好吧，我要吸氣，我要呼氣，我要砸爛大門，」你決定。
"Boy, that felt good."	「天哪，那感覺真好。」
"I'M BAAD!"	「我是個壞傢伙！」
"I've been out here too long.  My imagination is taking over."	「我在這裡待太久了。我的想像力開始掌控了。」
"What was that noise?"	「那是什麼聲音？」
"Must be those Brigands playing games."	「一定是那些山賊在玩把戲。」
"I guess I'm just getting jumpy."	「我想我只是有點緊張罷了。」
"Is anyone there?"	「有人在嗎？」
"This place is spooky."	「這地方陰森森的。」
Before you can escape, the Minotaur is upon you!	還沒等你逃開，牛頭人已經撲向你！
You hear a snick as the hasp on the gate is opened.	你聽到一聲輕響，大門的門栓被打開了。
"DING DING DING DING...."  Well, maybe the brigands aren't such inhospitable creatures after all. 	「叮叮叮叮……」好吧，也許山賊也不是那麼不好客嘛。
Then again, maybe they are.	不過話說回來，說不定他們是。
There is no magical aura present.	偵測不到任何魔法氣息。
Sheer cliff walls form a narrow box canyon where the brigands have built a fortress.  There is a pile of debris where the steep cliff walls meet the fortress.	陡峭的懸崖圍成狹窄的盒狀峽谷，山賊在此建造了堡壘。陡峭的懸崖與堡壘交會處有堆積的瓦礫。
You see a large Minotaur patrolling the canyon. 	你看到一隻碩大的牛頭人在峽谷巡邏。
To the Minotaur, you look like a nice meal.	對牛頭人來說，你就像一頓美餐。
His aim in life is to make shish kebab.  I hope you're not skewered. 	他的人生目標是烤肉串。希望你別被串成烤肉。
Life as an archer is never dull nor pointless. 	弓箭手的日子既不沉悶也不無聊。
He has an arrow with your name on it. 	他手上有支刻著你名字的箭。
He has an IQ so low he can't spell IQ. 	他的智商低到連「智商」的英文都拼不出來。
You grin sheepishly; the door has no lock, and swings open at your touch.  	你尷尬地笑了；門上沒有鎖，輕輕一推就開了。
If that ISN'T the safe way out of here, you are probably going to become an ex-hero.  	如果這不是逃出去的安全方式，你大概會成為「前任英雄」。
It looks like a plain, simple, harmless box to you. 	在你眼裡，這就是個普通、簡單、人畜無害的盒子。
Your life is in grave danger and you want to play with toys?  What kind of hero are you? 	你的性命正在危險中，還想玩玩具？你算什麼英雄？
Your life is in grave danger and you want to play with toys? What kind of hero are you?	你的性命正在危險中，還想玩玩具？你算什麼英雄？
The chasm is too wide to jump and too deep to climb.  There seem to be a number of porcupines at the bottom.	裂谷太寬無法跳過，太深無法爬下。底部似乎有不少豪豬。
Empty wine barrels.  The winters here are very cold. 	空酒桶。這裡的冬天非常寒冷。
It's a fortification for archers to stand behind.   	這是弓箭手用來躲藏的防禦工事。
They're too heavy to carry. 	它們太重，搬不動。
Sacks of grain.  Stored for the winter. 	一袋袋穀物。為冬天儲存的。
You can't see through the windows from here.	你從這裡看不穿窗戶。
You see a group of brigands playing cards.  One looks back at you in surprise and starts yelling.  	你看到一群山賊在打牌。其中一個驚訝地轉身看著你，開始大喊。
All that can be seen through the window are vague shapes and outlines. 	從窗戶透過去只能看到模糊的身影和輪廓。
Hey!  Even the most rudimentary hero knows that the way to deal with a tripwire is to step over it, not cut it.  Now that you now it's there, you'll avoid it. 	嘿！連最初級的英雄都知道對付絆絲的辦法是跨過去，不是剪斷它。既然你現在知道它在那裡，你就可以閃避它。
You feel a trip wire.  Why, those sneaky brigands!  Now that you know it's there, you can easily step over it.	你摸到了一根絆絲。那些狡猾的山賊！既然你知道它在那裡，就可以輕鬆跨過去。
There is a dark rope stretched tautly across the path.  Now that you know it's there, you can easily avoid it by stepping over it.  	一根深色繩子繃得緊緊地橫在路上。既然你現在知道它在那裡，就可以輕鬆地跨過去避開它。
You hear a snick as the hasp on the Jack in the Box is released.	你聽到跳跳盒上的門栓被打開時發出的輕響。
That was a useless gesture.    	那是個無用的動作。
None of the brigands notices your Calm spell.  There is too much negative thought energy here. 	沒有山賊注意到你的鎮定術。這裡的負面思想能量太強了。
No spells are active here. 	這裡沒有任何法術生效。
This is not what you expected the brigands' fortress to look like in your imagination.  The barracks with the open half-doors to the east and west are fairly normal looking.	這和你想像中山賊要塞的樣子完全不同。東西兩側有著半開門的兵營看起來相當正常。
The carpet lying near the gate, however, is a bit odd. The small chasm in the middle of this yard with the bridge across it seems strange, too.  There are two blockades near the gate and some barriers near the north. 	不過，靠近大門的地毯看起來有點古怪。院子中央那條有橋跨越的小裂谷也挺奇怪的。大門附近有兩道障礙，北邊也有些屏障。
That was a useless spell.   	那是個無用的法術。
The rug is too big to put into your backpack and too heavy to carry around. You do notice a pit trap under the spread-out carpet. 	地毯太大放不進背包，也太重搬不動。不過你注意到攤開的地毯下有個陷阱。
The carpets look rather new, perhaps recently stolen from the merchant in town.  There is a sign on the red carpet which reads, "Step Here".  It's written in a shaky hand, as if the author was laughing at the time he wrote it. 	地毯看起來相當新，也許是最近從城裡商人那兒偷來的。紅地毯上有個牌子寫著「踩這裡」。字跡歪斜，彷彿作者寫字時在暗笑。
Sturdy looking bridge with two support poles across the chasm.  A message (written in a clear, firm hand) reading "Cross Here" is on this bridge. 	堅固的橋，有兩根支柱橫跨裂谷。橋上有則訊息，用清晰有力的字跡寫著「走這邊」。
There is a single pole supporting this sturdy looking bridge across the chasm. 	一根支柱撐著這座堅固的橋，橫跨裂谷。
The back door. 	後門。
They remind you of a bunch of Knochelkopfs. 	它們讓你想起一群 Knochelkopfs(碰頭怪)。
There is a chandelier with a rope attached. 	有一盞吊燈上面綁著繩子。
The door is already blocked. 	門已經被堵住了。
No time for that again (although it WAS fun).  Just get the heck outta here. 	現在沒時間再玩了(雖然確實很好玩)。趕快逃出這鬼地方。
The chandelier is out of your reach.	吊燈超出你夠得著的範圍。
Chandelier, used to hold up the rope. 	吊燈，用來吊著繩子。
He's been drinking Troll's sweat all night.  	他整晚都在喝巨魔汗水酒。
The front door is already barred.  	前門已經被封住了。
The floor is strewn with flotsam and jetsam. 	地板上散落著各種廢棄物。
You close and bar the door. 	你關上門並用木條封住了。
"Oh, a wise guy, eh?" 	「喔，你想耍聰明啊？」
There's no need to knock this guy out; the Troll's Sweat he's been drinking has already done the job for you. 	不必敲昏這傢伙；他喝的巨魔汗水酒已經替你做好這件事了。
You move the chair in front of the door. 	你移動椅子到門前。
Wooden tables, benches, and chairs fill the space of this brigand meeting area.  A chandelier lights the room and  an unlit candelabra stands in the corner.  A rope hangs from the chandelier. 	木桌、長凳和椅子填滿了這個山賊集會區。一盞吊燈照亮房間，角落裡站著盞未點燃的燭台。繩子從吊燈垂下。
None of the doors are locked.	沒有任何門被鎖上。
Leave the rope alone for now.  It's serving a very important function by holding up the chandelier.	先別動繩子。它現在的功用很重要——吊著吊燈。
The rope holds up the chandelier.  It's used to lower the chandelier so that it can be lit. 	繩子吊著吊燈。它被用來放低吊燈好點燃它。
Most of the tables are grimy with dried beer and such.  The head table, though, is clean. 	大部分的桌子都粘著乾燥的啤酒漬之類的東西。不過主桌看起來很乾淨。
You begin toppling the candelabra.  	你開始推倒燭台。
The candelabra has already fallen.  	燭台已經倒下了。
Sturdy-looking device for holding candles. 	看起來很堅固的燭台。
You can't do that from where you're standing. 	你從現在的位置做不了這件事。
In the "upstairs" doorway, there is a chain with a handle attached.	在「樓上」的門口，有條綁著把手的鍊子。
You're not close enough. 	你離得不夠近。
Get closer.	靠近點。
"Have a nice day!"	「祝你今天愉快！」
It's a box of some sort...or so the sign says.  There is a button on the box. 	這是某種盒子……至少牌子是這麼說的。盒子上有個按鈕。
You'll have to get closer.  	你得靠近點。
It looks a button, but you'll have to be closer to push it. 	看起來像個按鈕，不過你得靠近點才能按它。
Engraved on the button are the words: "PUSH ME".	按鈕上刻著「按我」。
"Oops!  You thought this door led SOMEWHERE!"	「哎呀！你以為這扇門會通往某個地方！」
"What a miserable experience!"	「多麼慘烈的經歷！」
You dare not unbar the door.  You hear hordes of brigands massing beyond it.	你不敢打開門。你聽到成群山賊在門外集結。
You can't do it.	你辦不到。
"Elsa is right next door.  I'll go set up the secret exit for your escape."	「艾爾莎就在隔壁。我去準備秘密出口好讓你逃脫。」
You bar the door behind you.	你在身後用木條封住門。
You behold a most fascinating place.	你看到了一個最迷人的地方。
The person labeled "ME" speaks: 	被標籤為「我」的人說話了：
"Abandon mope, all ye who enter here!"	「所有進入此地者，都要拋棄悶悶不樂！」
"Job hunting, or just sight-seeing?"	「在找工作，還是只是來觀光？」
"I foresee a brilliant future for you in the fall."	「我預見你的輝煌未來…會在秋天到來。」
"If you've got something to say, then speak fast or forever hold your pieces."	「如果你想說什麼，就說快點，要不就永遠閉嘴。」
"State your case before I case your estate!"	「在我接收你的遺產之前，先陳述你的理由！」
It would serve no purpose.	那沒有用。
You feel disoriented.	你感到暈眩。
How does he DO this?	他到底是怎麼做到的？
There's an ECHO IN HERE... Echo In Here... echo in here... 	這裡有回音……有回音……有回音……
M. C. Escher would LOVE this place.	M. C. 艾舍爾一定會愛上這個地方。
OK, enough fooling around!	好吧，別亂來了！
This is getting old!	這傢伙太老了！
A person COULD get used to this.	人是有可能習慣這個的。
Your magic has no effect.  It must be something about this room.	你的魔法沒有效果。一定是這房間的關係。
"ME" sees you preparing your spell and... 	「我」看到你在準備法術……
Nothing is locked.	沒有任何東西被鎖上。
There is a deep pit with a walkway winding above it.	有個深坑，上面有條蜿蜒的走道。
There appear to be stairs leading up (?) to nowhere.  There is also what looks like a bowl full of fireflies.  	似乎有些階梯通往(?)無處可去。還有個看起來裝滿螢火蟲的碗。
With the Brigands pounding at the door, you decide not to rest until you're safe.	山賊在門上狂敲，你決定在安全前不休息。
Stairs lead up to the platform on which "ME" is located.	階梯通往「我」所在的平台。
Why would you want to throw that?	你為什麼想丟那個？
"No more talking, my friend.  Let's have fun!"	「別再囉唆了，我的朋友。我們來玩樂！」
You're too busy.	你太忙了。
"It looks like the talking is over."	「看來談話結束了。」
"Would he be surprised to see his little girl now!"	「要是他現在看到他的小女兒，一定會大吃一驚！」
"Everybody needs to know a few magic tricks to get by these days.  You'd be surprised how effective Sleeping Powder is for taking out the guards of a caravan."	「現在誰都得知道幾招魔法才能活下去。你會驚訝於催眠粉對付商隊守衛有多有效。」
"You know about the enchantment?  Then perhaps you have come to help. Perhaps you are able to take the child from the band."	「你知道詛咒的事？那你可能是來幫忙的。也許你有辦法把孩子從山賊手中救出。」
"Elsa doesn't know who she really is.  That's part of the enchantment."	「艾爾莎不知道她真正是誰。那是詛咒的一部分。」
"When Elsa was left with some brigands ten years ago, all her memories were taken away from her."	「十年前艾爾莎被留給山賊時，她的所有記憶都被奪走了。」
"I borrowed a Magic Mirror from a friend to try to break the spell, but it only works when spells are cast directly at you."	「我從朋友那兒借了面魔鏡想破解詛咒，不過它只有在法術直接施加在你身上時才有效。」
"If you're going to be the big Hero, I hope you brought a Dispel Potion or something."	「如果你要做大英雄，希望你帶了解除詛咒藥劑之類的。」
"The true Dispel Potion will break an enchantment.  You must splash the potion on Elsa as soon as you can, or she'll skewer you for sure.  She's more than a match for old 'Swordy Lordy' now!"	「真正的解除詛咒藥劑能破解任何詛咒。你得盡快把藥劑潑在艾爾莎身上，否則她一定會把你串成烤肉。她現在比「劍客勳爵」還要強得多！」
"You know Elsa?  Then perhaps you have come to help.  Perhaps you are able to take the child from the band."	「你認識艾爾莎？那你可能是來幫忙的。也許你有辦法把孩子從山賊手中救出。」
After you have explained what you know about Elsa, Yorick speaks:	在你解釋了你對艾爾莎的了解後，尤瑞克說話了：
"It's about time that someone else helped Elsa before it's too late! Toro and I are the only friends she's got here."	「是時候該有人在太晚前幫助艾爾莎了！我和托羅是她在這兒唯一的朋友。」
"She's a lot like her dad, though.  She organized these brigands and changed them from mere thugs to major raiders!" 	「不過她很像她爸爸。她組織了這些山賊，把他們從小流氓變成大盜匪！」
"She plans to move the entire band away from the valley as soon as the snow clears.  If that happens, I know she will never be disenchanted."	「她計畫一旦積雪融化就帶著整個幫派離開山谷。要是那樣，我就知道她永遠不會被解除詛咒。」
"There are plenty of doors.  You wouldn't want me to spoil your fun, now!"	「門多著呢。你應該不想我毀了你的樂趣吧！」
"Either you'll figure it out in the end, or you'll end it before you're out."	「你要不最後想通，要不就在逃出去前把自己終結。」
"This fort is the brigand's palace.  It has been well-constructed."	「這座要塞是山賊的宮殿。蓋得相當不錯。」
"For thirty years I was the Court Jester.  Now I jest enjoy watching other people take the pratfalls."	「三十年來我都是宮廷弄臣。現在我只是喜歡看別人出洋相。」
"I'll protect the Brigand Leader with everything I've got.  That's no laughing matter as I get madder."	「我會用盡全力保護山賊首領。這不是開玩笑，當我生氣時尤其如此。」
"This room is my way of keeping the brigands from bothering the Leader about raises, since it tends to raze the brigands."	「這個房間是我用來阻止山賊向首領要求加薪的辦法，因為它會把山賊消滅掉。」
"I designed it myself!  This place has people rolling in the aisles."	「我自己設計的！這地方會讓人笑得滾來滾去。」
"Can't you see that I am he?  I try to inspire (before they expire) a sense of awe and majesty in those that enter here."	「你沒看出來我就是他嗎？我試圖在進入這裡的人心中喚起(在他們完蛋前)敬畏和威嚴的感受。」
"After all, I am the Brigand Warlock.  One has to keep up one's appearances, or appear to keep up with one's peers."	「畢竟，我是山賊巫師。一個人必須維持自己的門面，或看起來要跟上自己的同僚。」
"Toro is the minotaur that guards this fortress.  Elsa found him when he was just a calf, and he's kowtowed to her ever since."	「托羅是守衛這座要塞的牛頭人。艾爾莎在他還是牛犢時找到他，他從那時起就對她言聽計從。」
"He guarantees that the brigands won't give Elsa any bull."	「他保證這些山賊不會跟艾爾莎胡鬧。」
"Ah yes, the 'Mirror with the Leer', as Erasmus calls it (or was it Fenrus?). It reflects a spell back on the caster of the spell."	「啊，沒錯，伊拉斯謨叫它『邪笑之鏡』（還是芬魯斯叫的？）。它會把法術反射回施法者身上。」
"Now where did I put that mirror... Was it on the desk in Elsa's office or else in the office on Elsa's desk?" 	「現在我把那面鏡子放在哪了……是放在艾爾莎辦公室的桌子上，還是放在艾爾莎桌子上的辦公室？」
"You snooze, you lose.  And my banana trick has appeal of its own."	「你打瞌睡就會輸。而且我的香蕉戲法有其獨特的魅力。」
"You must know the 'Blade Braggart'.  He used to show off in the castle courtyard all the time."	「你一定知道『刀光自大狂』。他老是在城堡中庭炫耀。」
"Elsa once asked if 'Rapier Ruler' would teach her to use the sword, and the 'Sword Bore' told her he would not waste his talent on females." 	「艾爾莎曾經問過『長劍統治者』願不願意教她用劍，而『劍術悶蛋』卻說他不會把才華浪費在女性身上。」
"She came to me in tears.  After all, she was only nine at the time."	「她眼淚汪汪地來找我。畢竟她那時才九歲。」
"She can teach old 'Weapon Windbag' a thing or two now!  Her arm is true, and she's truly disarming." 	「現在她可以教那老傢伙『武器老噠吧』一兩招了！她劍術高超，真是令人印象深刻。」
"Talking is a speciality of those who know not what they talk about."	「談話是那些不知道自己在說什麼的人的專長。」
"You know me?  Then perhaps you have come to help.  Perhaps you are able to take the child from the band."	「你認識我？那也許你是來幫忙的。也許你能把小孩從這幫人手中救出來。」
"Alas, poor Yorick!  I know me well."	「唉呀，可憐的尤瑞克！我太瞭解我自己了。」
"Ten years ago, I swore I would find Elsa no matter what.  It took me two years to find her, here with the brigands, and I've posed as her warlock ever since."	「十年前，我發誓一定要找到艾爾莎，無論如何。我花了兩年時間才在這裡找到她跟這些山賊在一起，從那時起我就一直偽裝成她的巫師。」
"I couldn't break the spell on her, nor could I leave her to grow up into an attractive woman surrounded by rogues and scoundrels."	「我無法破除她身上的詛咒，也無法任由她長大成為一個被無賴和騙子包圍的美女。」
"Someone had to defend her honor!"	「得要有人為她的名譽辯護！」
"Take yourself there."	「你自己去那裡。」
"ME" sees you preparing your spell and...	「我」看到你在準備法術……
Now?? 	現在？？
"It's 'ME'." 	「那是『我』。」
Caravan	商隊
Disenchantment	解除詛咒
Dispel	驅散術
"Be more specific, my friend."	「請說得更具體一點，朋友。」
Exit	離開
Fortress	要塞
Jester	弄臣
"If you have business to do, then get busy doing your business."	「如果你有事要做，那就開始做吧。」
Maze	迷宮
Me	我
Minotaur	牛頭人
"Can't you see that's nothing to me?  You'd better flee."	「你看不出對我來說那算什麼嗎？你最好逃命。」
"The brigands will come to spoil your fun.  You'll be undone."	「山賊會來破壞你的樂趣。你會完蛋。」
"The brigands tend to hold a grudge, and they won't begrudge to tend to you."	「這些山賊往往懷恨在心，他們也不會介意對付你。」
"If you have any famous last statements, you'd better say the secret word, or you'll lament your last state."	「如果你有什麼著名的遺言，你最好說出那個秘密詞語，否則你會為你的最後處境哀嘆。」
Potion	藥水
"Of which potion do you speak?"	「你說的是哪種藥水？」
Powder	粉末
Swordy Lordy	劍術老兄
Yorick	尤瑞克
A quick but thorough search of the desk discloses two Healing Potions and a mirror.	一次迅速但徹底的搜索發現了桌上放著兩瓶治療藥水和一面鏡子。
You find nothing more.	你沒有發現更多東西。
You see a mirror.	你看到一面鏡子。
You find two Healing Potions.	你找到兩瓶治療藥水。
You see a plain wooden desk.  On the desk are two potion bottles and a hand mirror.	你看到一張樸素的木製桌子。桌上放著兩瓶藥水和一面手鏡。
That would be foolhardy.  You would let the brigands in.	那太愚蠢了。你會讓山賊進來。
The chest full of gems is monogrammed with the name "Abdulla Doo".  He'll sure be happy to get it back. 	那個裝滿寶石的箱子上刻著「阿布杜拉·嘟」的名字。他一定會很高興能拿回它。
There are more diamonds there than in Tiffany's! 	那裡的鑽石比蒂芬妮還多！
A lot of townsfolk will be happy to get their stolen goods back. 	很多鎮民會很高興能拿回他們被偷的東西。
You throw the Dispel Potion on the brigand leader.	你把驅散術藥水扔在山賊首領身上。
Good idea, but you don't have that potion.	好主意，但你沒有那個藥水。
The brigand leader wears a sword, and it looks well used.	山賊首領配著一把劍，看起來用過很多次。
Elsa looks much better in a dress.	艾爾莎穿著衣服看起來好多了。
It depends on your taste, though, I suppose.	不過那取決於你的品味，我想。
Everybody else is gone.	其他人都走了。
The Brigand Leader stares at you coldly.  It seems he's not interested in chatter.	山賊首領冷冷地盯著你。看來他對閒聊不感興趣。
"We've no time to talk.  I'll meet you at the castle."	「我們沒時間說話。我會在城堡那邊見你。」
That black bird looks strangely familiar.  You sense that its destiny is irrevocably entwined with yours, in a strange foreshadowing of the rest of the "Quest for Glory" series.	那隻黑鳥看起來奇怪地熟悉。你感覺到它的命運與你的命運不可逆轉地糾纏在一起，預示著《英雄傳奇》系列其餘故事的奇異徵兆。
Oodles and boodles of ill-booten gotty. 	一大堆一大堆的壞掉的怪東西。
Let's see, was it the "dragon with the flagon", or the "flagon with the dragon"?	讓我想想，是「帶著長頸瓶的龍」還是「帶著龍的長頸瓶」？
That gold ornament probably weighs so much it would crumple the hood of your car. 	那個金色裝飾品可能重到足以壓坍你的車頂。
It looks like King Midas's shield -- worth exactly its weight in gold. 	它看起來像邁達斯國王的盾牌——價值正好等於它的重量。
You're not near the mirror.	你離那面鏡子太遠了。
You already have the mirror.	你已經有那面鏡子了。
You pick up the mirror and store it away.	你拿起鏡子並把它收起來。
A strange face leers at you when you look into the mirror.  At least, you *hope* you don't look like that!	當你看進鏡子裡時，一張奇怪的臉對著你齜牙咧嘴。至少，你*希望*你看起來不是那樣！
You place the two Healing Potions into your pack.	你把那兩瓶治療藥水放進你的背包。
You are not near the healing potions.  	你離那些治療藥水太遠了。
It's a healing potion. 	那是一瓶治療藥水。
"You can't imagine how good it feels to know who I am again.  After all these years, to remember my name is Elsa von Spielburg!"	「你無法想像再次知道我是誰的感覺有多好。經歷了這麼多年，重新記起我的名字是艾爾莎·馮·史畢柏格！」
"I used to wish I was not a brigand's child but actually an enchanted princess.  Now I know that I really was enchanted, and I don't have to be a brigand any more!"	「我過去希望我不是山賊的小孩，而是一個被施魔法的公主。現在我知道我真的被施了魔法，我不必再做山賊了！」
"Thank you so much for freeing me."	「非常感謝你救了我。」
"I've got to hurry home to father and get his guards to capture the rest of the brigands before they manage to escape with the treasure. It must be returned to the rightful owners."	「我得趕緊回家去找父親，讓他的衛兵去抓捕其他山賊，免得他們趁機逃走帶走寶藏。寶藏必須歸還給合法的所有人。」
"Yorick!  Yorick!  I'm me again!"	「尤瑞克！尤瑞克！我又是我自己了！」
"Sorry I took so long.  I got lost."	「抱歉我花了這麼久。我迷路了。」
"Will your Dad be glad that your spell's been repelled!  We need to go before the brigands know or they'll spoil our show."	「你爸爸會很高興你的詛咒被解除了！我們得在山賊知道之前離開，否則他們會破壞我們的計畫。」
"C'mon!  We'd better make our getaway before they get in our way."	「來吧！我們最好在他們擋住我們之前逃脫。」
